,shift,density
299,-302.77682,134
300,-296.47491,293
301,-283.8844,0
302,-277.59579,0
303,-271.31162,0
304,-265.03187,0
305,-258.75656,349
306,-252.48567,694
307,-246.21922,0
308,-239.9572,0
309,-233.69961,795
310,-227.44645,541
311,-221.19772,0
312,-214.95342,0
313,-208.71356,384
314,-196.24712,61
315,-190.02055,0
316,-183.7984,0
317,-177.58069,304
318,-171.36741,0
319,-158.95415,515
320,-152.75417,0
321,-146.55861,0
322,-140.36749,204
323,-134.1808,57
324,-127.99854,664
325,-121.82071,439
326,-115.64731,688
327,-109.47834,0
328,-103.3138,370
329,-97.153699,0
330,-90.998025,0
331,-84.846783,73
332,-78.699971,0
333,-72.557591,217
334,-66.419642,0
335,-60.286124,0
336,-54.157037,0
337,-48.032382,35
338,-41.912157,0
339,-35.796364,0
340,-29.685002,977
341,-23.578071,664
342,-17.475571,653
343,-11.377502,1255
344,-5.2838648,117
345,0.80534146,792
346,6.8901166,304
347,12.970461,0
348,19.046373,0
349,25.117855,1093
350,31.184905,0
351,37.247525,75
352,43.305713,0
353,49.35947,0
354,55.408796,0
355,67.494154,0
356,73.530186,0
357,79.561787,220
358,85.588957,0
359,91.611696,0
360,97.630004,0
361,103.64388,517
362,109.65333,217
363,115.65834,238
364,121.65892,350
365,127.65507,0
366,133.6468,448
367,145.61694,641
368,151.59537,0
369,157.56937,0
370,163.53893,82
371,169.50407,708
372,175.46477,0
373,181.42104,0
374,187.37288,826
375,193.32029,569
376,199.26327,411
377,205.20181,0
378,211.13593,170
379,217.06561,289
380,222.99087,387
381,228.91169,0
382,234.82808,0
383,240.74004,343
384,246.64757,680
385,258.44933,210
386,264.34357,0
387,270.23337,83
388,276.11874,224
389,281.99968,0
390,287.87619,0
391,293.74827,43
392,299.61592,0
393,305.47914,0
394,311.33792,0
395,317.19228,0
396,323.0422,414
397,328.88769,0
398,334.72876,1185
399,340.56539,4498
400,346.39758,13133
401,352.22535,18672
402,358.04869,21956
403,363.86759,21621
404,369.68207,20801
405,375.49211,20348
406,381.29772,18319
407,387.0989,14445
408,392.89565,10871
409,398.68797,6761
410,404.47586,4478
411,410.25931,4095
412,416.03834,3514
413,421.81293,3449
414,427.5831,2320
415,433.34883,1620
416,439.11013,1585
417,444.867,741
418,450.61943,1459
419,456.36744,2223
420,462.11102,1543
421,467.85016,0
422,473.58487,724
423,479.31516,460
424,485.04101,87
425,496.47941,597
426,507.9001,659
427,513.60379,0
428,519.30306,705
429,524.99789,0
430,530.68829,793
431,536.37426,0
432,542.0558,691
433,547.73291,0
434,553.40559,164
435,559.07383,155
436,564.73765,320
437,576.05198,0
438,581.7025,0
439,587.34859,334
440,592.99025,0
441,598.62748,0
442,604.26027,0
443,615.51257,170
444,621.13208,0
445,626.74715,0
446,632.35779,217
447,637.964,423
448,643.56578,1020
449,649.16312,0
450,654.75604,15590
451,660.34452,25437
452,665.92858,27364
453,671.5082,27292
454,677.08339,25787
455,682.65415,22656
456,688.22048,17438
457,693.78238,11757
458,699.33985,6386
459,704.89288,1769
460,710.44148,0
461,715.98566,291
462,721.5254,1015
463,727.06071,585
464,732.59159,1527
465,738.11804,3767
466,743.64006,5112
467,749.15764,6771
468,754.6708,8204
469,760.17952,8959
470,765.68381,10313
471,771.18367,9292
472,776.67911,8852
473,787.65667,6249
474,793.13881,3995
475,798.61651,2327
476,809.55863,929
477,815.02304,783
478,820.48303,760
479,825.93858,0
480,831.38969,0
481,836.83638,0
482,842.27864,0
483,847.71646,0
484,853.14986,0
485,858.57882,453
486,864.00335,0
487,869.42345,439
488,874.83912,0
489,880.25036,608
490,885.65717,0
491,891.05954,0
492,896.45749,135
493,901.851,0
494,907.24008,0
495,912.62473,474
496,918.00495,0
497,923.38074,0
498,928.7521,0
499,934.11903,213
500,944.83959,0
501,950.19322,0
502,955.54242,242
503,960.88719,736
504,966.22753,258
505,971.56344,122
506,976.89492,682
507,982.22196,496
508,987.54458,0
509,992.86276,0
510,998.17651,650
511,1003.4858,0
512,1008.7907,639
513,1014.0912,0
514,1019.3872,147
515,1024.6788,0
516,1029.966,0
517,1035.2487,202
518,1040.527,167
519,1045.8009,364
520,1051.0703,0
521,1056.3353,63
522,1061.5959,159
523,1066.8521,70
524,1072.1038,0
525,1077.3511,140
526,1082.5939,146
527,1087.8323,445
528,1093.0663,0
529,1098.2959,435
530,1103.521,0
531,1108.7417,0
532,1113.958,0
533,1119.1698,0
534,1124.3772,99
535,1134.7787,0
536,1139.9729,0
537,1145.1625,106
538,1150.3478,0
539,1155.5286,82
540,1160.705,926
541,1165.8769,273
542,1171.0445,0
543,1176.2076,0
544,1181.3662,71
545,1186.5205,233
546,1191.6703,0
547,1196.8156,92
548,1201.9566,819
549,1212.2251,1926
550,1217.3528,3220
551,1222.476,3588
552,1227.5948,3675
553,1232.7091,2393
554,1237.819,2184
555,1242.9245,2012
556,1248.0256,1569
557,1253.1222,654
558,1258.2144,379
559,1263.3022,476
560,1268.3855,614
561,1273.4644,0
562,1278.5389,0
563,1283.6089,0
564,1288.6745,606
565,1293.7357,0
566,1303.8448,350
567,1308.8926,579
568,1313.9361,423
569,1318.9751,201
570,1324.0097,0
571,1329.0399,0
572,1334.0656,0
573,1339.0869,0
574,1344.1037,590
575,1349.1162,712
576,1354.1242,0
577,1364.1269,0
578,1369.1216,0
579,1374.1119,1160
580,1379.0977,18
581,1384.0791,0
582,1389.0561,348
583,1394.0287,233
584,1398.9968,0
585,1403.9605,0
586,1408.9197,765
587,1413.8746,0
588,1418.825,0
589,1423.7709,464
590,1428.7125,94
591,1433.6496,269
592,1438.5823,0
593,1443.5105,0
594,1448.4343,0
595,1453.3537,1246
596,1458.2686,351
597,1463.1791,298
598,1468.0852,262
599,1472.9869,0
600,1477.8841,0
601,1482.7769,0
