Frequency	Channel A
(MHz)	(dBu)

0.14114380	-52.81201000
0.14209747	-51.16064000
0.14305115	-51.76203000
0.14400482	-53.58989000
0.14495850	-58.49372000
0.14591217	-64.38263000
0.14686584	-60.88696000
0.14781952	-54.55791000
0.14877319	-57.12986000
0.14972687	-63.21321000
0.15068054	-58.63976000
0.15163422	-62.31705000
0.15258789	-61.28271000
0.15354156	-59.22430000
0.15449524	-53.89410000
0.15544891	-54.23981000
0.15640259	-54.07448000
0.15735626	-53.10276000
0.15830994	-55.46082000
0.15926361	-60.37765000
0.16021729	-54.91202000
0.16117096	-53.35495000
0.16212463	-54.93822000
0.16307831	-57.41848000
0.16403198	-55.59761000
0.16498566	-57.61209000
0.16593933	-59.54225000
0.16689301	-58.08183000
0.16784668	-61.97281000
0.16880035	-57.58892000
0.16975403	-60.32689000
0.17070770	-64.64474000
0.17166138	-57.11435000
0.17261505	-60.74410000
0.17356873	-65.68491000
0.17452240	-64.79646000
0.17547607	-56.26940000
0.17642975	-56.99108000
0.17738342	-64.65015000
0.17833710	-66.14134000
0.17929077	-63.45493000
0.18024445	-60.24423000
0.18119812	-68.01401000
0.18215179	-67.32757000
0.18310547	-69.31522000
0.18405914	-61.41286000
0.18501282	-61.16386000
0.18596649	-72.54558000
0.18692017	-60.11297000
0.18787384	-60.16744000
0.18882751	-63.08529000
0.18978119	-69.76139000
0.19073486	-63.83881000
0.19168854	-59.80126000
0.19264221	-64.00049000
0.19359589	-72.00217000
0.19454956	-61.45061000
0.19550323	-60.09511000
0.19645691	-61.45771000
0.19741058	-58.39387000
0.19836426	-55.38519000
0.19931793	-56.31892000
0.20027161	-55.93763000
0.20122528	-53.73983000
0.20217896	-54.47876000
0.20313263	-60.30646000
0.20408630	-73.25509000
0.20503998	-62.26014000
0.20599365	-58.47934000
0.20694733	-66.77045000
0.20790100	-58.86889000
0.20885468	-56.62033000
0.20980835	-56.95603000
0.21076202	-62.52657000
0.21171570	-62.09546000
0.21266937	-62.37344000
0.21362305	-74.89043000
0.21457672	-69.78927000
0.21553040	-67.76162000
0.21648407	-60.57655000
0.21743774	-55.29210000
0.21839142	-56.36427000
0.21934509	-59.65712000
0.22029877	-55.92161000
0.22125244	-52.46487000
0.22220612	-53.43150000
0.22315979	-57.44710000
0.22411346	-60.17009000
0.22506714	-58.68180000
0.22602081	-65.88618000
0.22697449	-60.67616000
0.22792816	-65.70863000
0.22888184	-58.61212000
0.22983551	-54.52778000
0.23078918	-56.00475000
0.23174286	-58.11931000
0.23269653	-62.30171000
0.23365021	-75.23612000
0.23460388	-61.05945000
0.23555756	-62.48395000
0.23651123	-71.46581000
0.23746490	-61.58560000
0.23841858	-60.43304000
0.23937225	-59.32890000
0.24032593	-56.13532000
0.24127960	-56.35819000
0.24223328	-57.47433000
0.24318695	-60.38108000
0.24414063	-63.86181000
0.24509430	-63.36675000
0.24604797	-67.52002000
0.24700165	-60.75745000
0.24795532	-59.37816000
0.24890900	-58.96653000
0.24986267	-61.35317000
0.25081635	-64.81966000
0.25177002	-73.37728000
0.25272369	-67.80657000
0.25367737	-63.29951000
0.25463104	-64.44413000
0.25558472	-73.75547000
0.25653839	-69.34375000
0.25749207	-66.36237000
0.25844574	-63.59111000
0.25939941	-59.15178000
0.26035309	-58.79879000
0.26130676	-62.97669000
0.26226044	-67.32672000
0.26321411	-66.69657000
0.26416779	-76.13568000
0.26512146	-62.91646000
0.26607513	-66.49306000
0.26702881	-69.86693000
0.26798248	-84.39323000
0.26893616	-72.56520000
0.26988983	-71.30070000
0.27084351	-62.01545000
0.27179718	-62.69619000
0.27275085	-61.65709000
0.27370453	-58.81862000
0.27465820	-62.34020000
0.27561188	-75.58223000
0.27656555	-67.80502000
0.27751923	-63.83330000
0.27847290	-64.87064000
0.27942657	-67.08257000
0.28038025	-60.81658000
0.28133392	-60.38037000
0.28228760	-63.98249000
0.28324127	-58.65759000
0.28419495	-63.42512000
0.28514862	-70.26239000
0.28610229	-70.87704000
0.28705597	-72.30856000
0.28800964	-69.05236000
0.28896332	-71.03989000
0.28991699	-77.82502000
0.29087067	-76.18169000
0.29182434	-76.40131000
0.29277802	-68.33051000
0.29373169	-64.51641000
0.29468536	-62.75393000
0.29563904	-62.74819000
0.29659271	-63.20260000
0.29754639	-63.60789000
0.29850006	-64.57635000
0.29945374	-63.90272000
0.30040741	-62.22919000
0.30136108	-70.10833000
0.30231476	-75.68193000
0.30326843	-62.53846000
0.30422211	-59.10052000
0.30517578	-66.16595000
0.30612946	-84.63348000
0.30708313	-75.72831000
0.30803680	-87.98512000
0.30899048	-66.78534000
0.30994415	-65.90526000
0.31089783	-70.05494000
0.31185150	-71.91361000
0.31280518	-71.97202000
0.31375885	-68.43797000
0.31471252	-69.04534000
0.31566620	-70.20064000
0.31661987	-63.21650000
0.31757355	-64.04272000
0.31852722	-66.65298000
0.31948090	-64.79630000
0.32043457	-60.46325000
0.32138824	-61.86701000
0.32234192	-63.67473000
0.32329559	-60.78194000
0.32424927	-65.16547000
0.32520294	-72.78548000
0.32615662	-69.31901000
0.32711029	-68.20815000
0.32806396	-64.00069000
0.32901764	-65.27883000
0.32997131	-67.22550000
0.33092499	-70.97480000
0.33187866	-68.63164000
0.33283234	-67.70029000
0.33378601	-64.96835000
0.33473969	-62.17418000
0.33569336	-63.17293000
0.33664703	-76.10163000
0.33760071	-64.63633000
0.33855438	-61.57565000
0.33950806	-61.65169000
0.34046173	-64.83709000
0.34141541	-73.13758000
0.34236908	-77.16583000
0.34332275	-68.43353000
0.34427643	-62.10091000
0.34523010	-60.66760000
0.34618378	-60.62250000
0.34713745	-63.49060000
0.34809113	-66.85277000
0.34904480	-68.73654000
0.34999847	-79.21152000
0.35095215	-71.33464000
0.35190582	-61.17252000
0.35285950	-59.44479000
0.35381317	-62.81274000
0.35476685	-65.79328000
0.35572052	-72.51054000
0.35667419	-77.76144000
0.35762787	-70.33362000
0.35858154	-70.82332000
0.35953522	-77.95316000
0.36048889	-70.69114000
0.36144257	-67.47533000
