Record Length,2500,Points,-860.000014305E-3,799.999952316E-3,,Record Length,2500,Points,-860.000014305E-3,2.5999999,
Sample Interval,1.0000000E-3,s,-859.000027180E-3,879.999995232E-3,,Sample Interval,1.0000000E-3,s,-859.000027180E-3,2.5999999,
Trigger Point,859.999973457,Samples,-858.000040054E-3,799.999952316E-3,,Trigger Point,859.999973457,Samples,-858.000040054E-3,2.1999998,
,,,-856.999993324E-3,879.999995232E-3,,,,,-856.999993324E-3,1.9999999,
,,,-856.000006199E-3,879.999995232E-3,,,,,-856.000006199E-3,1.9999999,
,,,-855.000019073E-3,799.999952316E-3,,,,,-855.000019073E-3,1.8000000,
Source,CH1,,-854.000031948E-3,799.999952316E-3,,Source,CH2,,-854.000031948E-3,1.9999999,
Vertical Units,Volts,,-852.999985218E-3,879.999995232E-3,,Vertical Units,Volts,,-852.999985218E-3,1.8000000,
Vertical Scale,2.0478125,,-851.999998093E-3,879.999995232E-3,,Vertical Scale,5.11953094,,-851.999998093E-3,1.8000000,
Vertical Offset,0,,-851.000010967E-3,879.999995232E-3,,Vertical Offset,0,,-851.000010967E-3,1.5999999,
Horizontal Units,s,,-850.000023842E-3,879.999995232E-3,,Horizontal Units,s,,-850.000023842E-3,1.5999999,
Horizontal Scale,250.00001187E-3,,-849.000036716E-3,879.999995232E-3,,Horizontal Scale,250.00001187E-3,,-849.000036716E-3,1.5999999,
Pt Fmt,Y,,-847.999989986E-3,879.999995232E-3,,Pt Fmt,Y,,-847.999989986E-3,1.5999999,
Yzero,-546.925072486E-3,,-847.000002861E-3,879.999995232E-3,,Yzero,-234.39645964E-3,,-847.000002861E-3,1.3999999,
Probe Atten,1.000000,,-846.000015736E-3,879.999995232E-3,,Probe Atten,10.0000000,,-846.000015736E-3,1.3999999,
,,,-845.000028610E-3,879.999995232E-3,,,,,-845.000028610E-3,1.5999999,
Note,TDS 2012C - 16:26:33   05.11.2024,,-844.000041485E-3,879.999995232E-3,,Note,TDS 2012C - 16:26:33   05.11.2024,,-844.000041485E-3,1.5999999,
,,,-842.999994755E-3,879.999995232E-3,,,,,-842.999994755E-3,1.5999999,
,,,-842.000007629E-3,879.999995232E-3,,,,,-842.000007629E-3,1.8000000,
,,,-841.000020504E-3,879.999995232E-3,,,,,-841.000020504E-3,1.9999999,
,,,-840.000033379E-3,879.999995232E-3,,,,,-840.000033379E-3,1.8000000,
,,,-838.999986649E-3,959.999978542E-3,,,,,-838.999986649E-3,1.8000000,
,,,-837.999999523E-3,959.999978542E-3,,,,,-837.999999523E-3,1.9999999,
,,,-837.000012398E-3,959.999978542E-3,,,,,-837.000012398E-3,1.9999999,
,,,-836.000025272E-3,959.999978542E-3,,,,,-836.000025272E-3,2.1999998,
,,,-835.000038147E-3,879.999995232E-3,,,,,-835.000038147E-3,2.3999999,
,,,-833.999991417E-3,959.999978542E-3,,,,,-833.999991417E-3,2.5999999,
,,,-833.000004292E-3,959.999978542E-3,,,,,-833.000004292E-3,2.5999999,
,,,-832.000017166E-3,959.999978542E-3,,,,,-832.000017166E-3,2.99999976,
,,,-831.000030041E-3,959.999978542E-3,,,,,-831.000030041E-3,3.19999981,
,,,-829.999983311E-3,959.999978542E-3,,,,,-829.999983311E-3,3.19999981,
,,,-828.999996185E-3,1.0400000,,,,,-828.999996185E-3,3.39999986,
,,,-828.000009060E-3,959.999978542E-3,,,,,-828.000009060E-3,3.59999990,
,,,-827.000021935E-3,1.0400000,,,,,-827.000021935E-3,3.59999990,
,,,-826.000034809E-3,959.999978542E-3,,,,,-826.000034809E-3,3.59999990,
,,,-824.999988079E-3,959.999978542E-3,,,,,-824.999988079E-3,3.59999990,
,,,-824.000000954E-3,959.999978542E-3,,,,,-824.000000954E-3,3.99999976,
,,,-823.000013828E-3,959.999978542E-3,,,,,-823.000013828E-3,4.19999981,
,,,-822.000026703E-3,1.0400000,,,,,-822.000026703E-3,4.39999962,
,,,-821.000039577E-3,959.999978542E-3,,,,,-821.000039577E-3,4.39999962,
,,,-819.999992847E-3,959.999978542E-3,,,,,-819.999992847E-3,4.39999962,
,,,-819.000005722E-3,959.999978542E-3,,,,,-819.000005722E-3,4.59999990,
,,,-818.000018597E-3,959.999978542E-3,,,,,-818.000018597E-3,4.59999990,
,,,-817.000031471E-3,1.0400000,,,,,-817.000031471E-3,4.79999971,
,,,-815.999984741E-3,1.0400000,,,,,-815.999984741E-3,4.99999952,
,,,-814.999997616E-3,1.0400000,,,,,-814.999997616E-3,4.99999952,
,,,-814.000010490E-3,1.0400000,,,,,-814.000010490E-3,5.39999962,
,,,-813.000023365E-3,1.0400000,,,,,-813.000023365E-3,5.39999962,
,,,-812.000036240E-3,1.0400000,,,,,-812.000036240E-3,5.39999962,
,,,-810.999989510E-3,1.0400000,,,,,-810.999989510E-3,5.39999962,
,,,-810.000002384E-3,1.0400000,,,,,-810.000002384E-3,5.59999943,
,,,-809.000015259E-3,1.0400000,,,,,-809.000015259E-3,5.59999943,
,,,-808.000028133E-3,1.0400000,,,,,-808.000028133E-3,5.59999943,
,,,-807.000041008E-3,1.0400000,,,,,-807.000041008E-3,5.79999971,
,,,-805.999994278E-3,1.0400000,,,,,-805.999994278E-3,5.79999971,
,,,-805.000007153E-3,1.0400000,,,,,-805.000007153E-3,5.99999952,
,,,-804.000020027E-3,1.0400000,,,,,-804.000020027E-3,6.19999981,
,,,-803.000032902E-3,1.0400000,,,,,-803.000032902E-3,5.99999952,
,,,-801.999986172E-3,1.0400000,,,,,-801.999986172E-3,6.19999981,
,,,-800.999999046E-3,1.0400000,,,,,-800.999999046E-3,6.19999981,
,,,-800.000011921E-3,1.0400000,,,,,-800.000011921E-3,6.19999981,
,,,-799.000024796E-3,1.0400000,,,,,-799.000024796E-3,6.19999981,
,,,-798.000037670E-3,1.0400000,,,,,-798.000037670E-3,6.19999981,
,,,-796.999990940E-3,1.0400000,,,,,-796.999990940E-3,6.39999962,
,,,-796.000003815E-3,1.0400000,,,,,-796.000003815E-3,6.39999962,
,,,-795.000016689E-3,1.1200000,,,,,-795.000016689E-3,6.59999943,
,,,-794.000029564E-3,1.0400000,,,,,-794.000029564E-3,6.59999943,
,,,-792.999982834E-3,1.1200000,,,,,-792.999982834E-3,6.59999943,
,,,-791.999995708E-3,1.0400000,,,,,-791.999995708E-3,6.59999943,
,,,-791.000008583E-3,1.1200000,,,,,-791.000008583E-3,6.59999943,
,,,-790.000021458E-3,1.1200000,,,,,-790.000021458E-3,6.59999943,
,,,-789.000034332E-3,1.0400000,,,,,-789.000034332E-3,6.39999962,
,,,-787.999987602E-3,1.0400000,,,,,-787.999987602E-3,6.59999943,
,,,-787.000000477E-3,1.1200000,,,,,-787.000000477E-3,6.39999962,
,,,-786.000013351E-3,1.0400000,,,,,-786.000013351E-3,6.59999943,
,,,-785.000026226E-3,1.1200000,,,,,-785.000026226E-3,6.79999971,
,,,-784.000039101E-3,1.1200000,,,,,-784.000039101E-3,6.79999971,
,,,-782.999992371E-3,1.0400000,,,,,-782.999992371E-3,6.59999943,
,,,-782.000005245E-3,1.0400000,,,,,-782.000005245E-3,6.79999971,
,,,-781.000018120E-3,1.1200000,,,,,-781.000018120E-3,6.59999943,
,,,-780.000030994E-3,1.0400000,,,,,-780.000030994E-3,6.79999971,
,,,-778.999984264E-3,1.1200000,,,,,-778.999984264E-3,6.79999971,
,,,-777.999997139E-3,1.1200000,,,,,-777.999997139E-3,6.79999971,
,,,-777.000010014E-3,1.1200000,,,,,-777.000010014E-3,6.59999943,
,,,-776.000022888E-3,1.1200000,,,,,-776.000022888E-3,6.59999943,
,,,-775.000035763E-3,1.1200000,,,,,-775.000035763E-3,6.59999943,
,,,-773.999989033E-3,1.1200000,,,,,-773.999989033E-3,6.59999943,
,,,-773.000001907E-3,1.1200000,,,,,-773.000001907E-3,6.39999962,
,,,-772.000014782E-3,1.1200000,,,,,-772.000014782E-3,6.59999943,
,,,-771.000027657E-3,1.1200000,,,,,-771.000027657E-3,6.39999962,
,,,-769.999980927E-3,1.1200000,,,,,-769.999980927E-3,6.39999962,
,,,-768.999993801E-3,1.1999999,,,,,-768.999993801E-3,6.39999962,
,,,-768.000006676E-3,1.1999999,,,,,-768.000006676E-3,6.39999962,
,,,-767.000019550E-3,1.1200000,,,,,-767.000019550E-3,6.39999962,
,,,-766.000032425E-3,1.1200000,,,,,-766.000032425E-3,6.19999981,
,,,-764.999985695E-3,1.1999999,,,,,-764.999985695E-3,6.19999981,
,,,-763.999998569E-3,1.1999999,,,,,-763.999998569E-3,5.99999952,
,,,-763.000011444E-3,1.1999999,,,,,-763.000011444E-3,5.99999952,
,,,-762.000024319E-3,1.1999999,,,,,-762.000024319E-3,5.99999952,
,,,-761.000037193E-3,1.1999999,,,,,-761.000037193E-3,5.99999952,
,,,-759.999990463E-3,1.1200000,,,,,-759.999990463E-3,5.79999971,
,,,-759.000003338E-3,1.1999999,,,,,-759.000003338E-3,5.79999971,
,,,-758.000016212E-3,1.1999999,,,,,-758.000016212E-3,5.79999971,
,,,-757.000029087E-3,1.1999999,,,,,-757.000029087E-3,5.39999962,
,,,-755.999982357E-3,1.1999999,,,,,-755.999982357E-3,5.59999943,
,,,-754.999995232E-3,1.1999999,,,,,-754.999995232E-3,5.39999962,
,,,-754.000008106E-3,1.1999999,,,,,-754.000008106E-3,5.39999962,
,,,-753.000020981E-3,1.1999999,,,,,-753.000020981E-3,4.99999952,
,,,-752.000033855E-3,1.1999999,,,,,-752.000033855E-3,4.99999952,
,,,-750.999987125E-3,1.1999999,,,,,-750.999987125E-3,4.59999990,
,,,-750.000000000E-3,1.2800000,,,,,-750.000000000E-3,4.19999981,
